Nom Du Site,Type_sites_compostage,Modele_lombricomposteur,Adresse,Ville,Code_postal,Ouvert_au_public,Conditions_usage,Volume_valorise,Nombre_Contributeurs,Nombre_repas_annuel,Exploitant_structure,Exploitant_contact,Contact_responsable_site,Acteur_accompagnateur,Fonctionnement_du_site,Date_mise_en_route_du_site,x,y
Crous,Prive,Hors sol plastique,4 Ruelle Du Grand Casernement,Lyon,69007,Non,Reserve Aux etudiants Du Crous,inf_5_t,,,Crouss,,eisenia.lombricom@gmail.com,Eisenia,,,45.746270,4.851308
Recup Et Gamelle,Prive,Hors sol plastique,28 C rue Santos Dumont,Lyon,69008,Non,Reserve Recup Et Gamelle,inf_5_t,,,Recup et Gamelle,,eisenia.lombricom@gmail.com,Eisenia,,,45.737876,4.852212
Restos Du Coeur,Prive,Plein sol bois,143 Bis Avenue Sidoine Apollinaire 69009 Lyon,Lyon,69009,Non,Reserve Aux Restaurants Du Coeur,inf_5_t,,,Restaurants du Coeur,,eisenia.lombricom@gmail.com,Eisenia,,,45.764663,4.803188
Quartier de la Rochette,Prive,Plein sol bois,8 bis rue Ferber,Caluire et Cuire,69300,Oui,Ouvert aux habitants du quartier,inf_5_t,,,,,,,,,45.790882,4.828390
Quartier De La Roue 1,Quartier,Plein sol bois,Rue De La Saone,Rilleux La Pape,69140,Oui,Ouvert Aux Habitants Du Quartier,inf_5_t,25 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,45.824598,4.893625
Quartier De La Roue 2,Quartier,Plein sol bois,Rue De La Saone,Rilleux La Pape,69140,Oui,Ouvert Aux Habitants Du Quartier,inf_5_t,25 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,45.824598,4.893625
Quartier De La Roue 3,Quartier,Plein sol bois,Place Du Chateau,Rilleux La Pape,69140,Oui,Ouvert Aux Habitants Du Quartier,inf_5_t,25 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,45.825064,4.894608
Jardin Renoir,Prive,Plein sol bois,,,69140,Non,Reserve aux Jardiniers,inf_5_t,25 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,,
Quartier Des Vercheres 1,Quartier,Plein sol bois,Avenue Berlioz,Vaulx En Velin,69120,Oui,Ouvert Aux Habitants Du Quartier,inf_5_t,25 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,,
Quartier Des Vercheres 2,Quartier,Plein sol bois,Avenue Debussy,Vaulx En Velin,69120,Oui,Ouvert Aux Habitants Du Quartier,inf_5_t,25 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,,
Mas Du Taureau,Quartier,Plein sol bois,6 Chemin De La Ferme,Vaulx En Velin,69120,Oui,Ouvert Aux Habitants Du Quartier,inf_5_t,25 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,45.785934,4.912326
College Henry Barbusse,Prive,Plein sol bois,10 Avenue Henri Barbusse,Vaulx En Velin,69120,Non,Utilisation par les collegiens,inf_5_t,25 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,45.785879,4.916204
Quartier De La Thibaude,Quartier,Plein sol bois,14 Avenue Dimitrov,Vaulx En Velin,69120,Oui,Ouvert Aux Habitants Du Quartier,inf_5_t,25 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,45.778133,4.928860
Cervelieres,Quartier,Plein sol bois,Chemin du Bac,Vaulx En Velin,69120,Oui,Ouvert aux habitants du quartier,inf_5_t,30 Foyers,,Dynacite,,eisenia.lombricom@gmail.com,Eisenia,,,45.783944,4.913771
Creche Des Buers,Prive,Hors sol plastique,3 Rue Professeur Emile Bouvier,Villeurbanne,69100,Non,Utilisation par la Creche,inf_5_t,,,,,eisenia.lombricom@gmail.com,Eisenia,,,45.779107,4.891022
Chrs Cleberg,Prive,Plein sol bois,36 Rue Richelieu,Villeurbanne,69100,Non,Utilisation par Alynea,inf_5_t,40 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,45.759542,4.877020
College Louis Jouvet,Prive,Plein sol bois,"23, rue du Docteur Dolard",Villeurbanne,69100,Non,Reserve au College,inf_5_t,,,,,eisenia.lombricom@gmail.com,Eisenia,,,45.761206,4.872557
Creche Croq nuage,Prive,Hors sol plastique,15 cours Andre Philip,Villeurbanne,69100,Non,Reserve a la creche,inf_5_t,,,Creche Croq Nuage,,eisenia.lombricom@gmail.com,Eisenia,,,45.773187,4.861368
Residence George Braque,Quartier,Plein sol bois,Rue Du Montout,Meyzieu,69330,Oui,Ouvert Aux Habitants Du Quartier,inf_5_t,40 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,45.763421,4.992614
Yves Farges 1,Quartier,Plein sol bois,Cite Yves Farge,Givors,69700,Oui,Ouvert Aux Habitants Du Quartier,inf_5_t,40 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,45.592128,4.766132
Yves Farges 2,Quartier,Plein sol bois,Cite Yves Farge,Givors,69700,Oui,Ouvert Aux Habitants Du Quartier,inf_5_t,40 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,45.592128,4.766132
Promenade Maurice Thorez,Quartier,Plein sol bois,Prom. Maurice Thorez & Place Des Tours,Givors,69700,Oui,Ouvert Aux Habitants Du Quartier,inf_5_t,40foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,45.589656,4.773120
Lycee Andre Paillot,Prive,Plein sol bois,4 Chemin Des Grabelieres,Saint-Genis-Laval,69230,Non,Utilisation par les lyceens,inf_5_t,5/6 Foyers,,Lycee Andre Paillot,epl.st-genis@educagri.fr,eisenia.lombricom@gmail.com,Eisenia,,,45.666140,4.791585
La Sauvegarde de l enfance,Prive,,25 Chemin De Villeneuve,Ecully,69130,Non,Utilisation par le foyer,inf_5_t,,,,,eisenia.lombricom@gmail.com,Eisenia,,,45.785654,4.781412
Campus Universite Lyon 2,Prive,,,Bron,69500,Oui,Utilisation par les Etudiants,inf_5_t,,,,,eisenia.lombricom@gmail.com,Eisenia,,,,
La Verrerie,Prive,,,,03000,Non,Reserve aux Habitants,inf_5_t,4 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,,,,
CFPH Ecully,Prive,Andain,Ferme de l Abbe Rozier,Ecully,69081,Non,Reserve a la valorisation de collecte,10 t,,,,,eisenia.lombricom@gmail.com,Eisenia,,,"45.777229, ",4.788291
Gaec du Murier,Prive,Andain,,,42800,Non,Reserve aux gerants de l explopitation ,10 t,,,,,eisenia.lombricom@gmail.com,Eisenia,,,,
Lombriplanete,Prive,Andain,,Caluire et Cuire,69300,Non,Reserve a la valorisation de collecte,inf_5_t,,,,,eisenia.lombricom@gmail.com,Eisenia,,,,
